Cran id,Area (in^2),Width (in),Length (in)
0,0.16979914265143828,0.37686158893955835,0.5837367186406638
1,0.37987758045003434,0.617648263920224,0.7742979180432802
2,0.34032873884181464,0.5860617243156134,0.6964595928370332
3,0.4684920297737815,0.6811097445838777,0.8668505830507943
4,0.43789646154283157,0.6636571436309967,0.8010068206072429
5,0.3682738042314749,0.6218434675073392,0.7456119547482816
6,0.39379793789208317,0.6402551228268062,0.7761075373556342
7,0.17263747640274058,0.39584179093073146,0.512729924451087
8,0.44678712461676384,0.7034705429776369,0.8011685935645917
9,0.49821105375800573,0.7523525932197505,0.8342515083791945
10,0.3210030252116239,0.604134257774459,0.662356650728288
