"Full area","Non-hollow area","Hollow area","Avg. Color"
67229,22031.,45198.,"{0.64251719102304, 0.5697351078942875, 0.4618442846356182}"
53296,18452.,34844.,"{0.6007488330065812, 0.5546270624731182, 0.45556705870584197}"
20041,0.,20041.,"{0.3757874788056259, 0.3403558000216197, 0.2531872406664031}"
67533,31879.,35654.,"{0.5874022954064402, 0.5253019366276425, 0.41461530934919777}"
78482,19825.,58657.,"{0.6411534354573138, 0.5712499081842421, 0.4787860935766373}"
62255,16547.,45708.,"{0.6838729387826477, 0.6015797140476381, 0.4990501747241658}"
72926,31172.,41754.,"{0.6304756957495349, 0.582727105048162, 0.47719310415664673}"
54749,19527.,35222.,"{0.6281861715443051, 0.5640809985247938, 0.476397706610479}"
50439,12232.,38207.,"{0.6259435100989178, 0.5739991890806256, 0.46329913555066476}"
59188,23188.,36000.,"{0.6466932221289342, 0.5577469995905238, 0.47153417425634275}"
54368,21287.,33081.,"{0.6223977628131391, 0.5503540144721759, 0.4466139972764124}"
54316,21091.,33225.,"{0.6246713856025747, 0.5648626988905742, 0.4478660099433004}"
52226,21573.,30653.,"{0.6034892845047896, 0.5270750876845259, 0.45039402656481586}"
56795,24736.,32059.,"{0.5940040289378985, 0.5444157781080718, 0.4465909557766768}"
41152,8976.,32176.,"{0.6324397546732146, 0.5118710547983145, 0.4336442800293289}"
52972,9768.,43204.,"{0.675773216482753, 0.6076310385212291, 0.51931593901628}"
53540,20389.,33151.,"{0.6048328901974911, 0.5076036241915636, 0.3844554556974587}"
61170,19336.,41834.,"{0.6098060371769565, 0.5234497238490072, 0.44802783627760784}"
33827,11934.,21893.,"{0.6048159696077268, 0.5073656789998733, 0.4196110891809894}"
85172,21419.,63753.,"{0.6085795479135866, 0.5565632818665038, 0.45812616315962}"
74479,19484.,54995.,"{0.6709553870822829, 0.5962996280830328, 0.4920481599103454}"
57121,22800.,34321.,"{0.6232692828535736, 0.5432603166789688, 0.46986126114809695}"
39358,12191.,27167.,"{0.6371369300806957, 0.5289040073573043, 0.4526124693487364}"
59862,17318.,42544.,"{0.6708101181736535, 0.5994366127059055, 0.4885301553049459}"
39016,10080.,28936.,"{0.6725513313793033, 0.5854651887410494, 0.48722203460022084}"
